agency,rating,review_count,negatives_visible,website,phone,address,maps_url
Vodafone Barka Branch,4.3,62,0,https://vodafone.om/,7700 1717,"Al Shoman Street Building 1, Suite 01-PA, ولاية بركاء، Oman",https://maps.google.com/?cid=3550972901704866558&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Falcon Graphics,4.3,44,0,https://www.falcongraphics.co/,9437 1666,"Near Oman Post, Souq St, Sib, Oman",https://maps.google.com/?cid=16238486102139297198&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Media Computers & Training Services LLC,4.3,26,1,http://www.mediaoman.com/,24 902117,"Bldg No:5231, KFC Building - 3rd Floor, Opp.Oman Oil Service Stn, شارع نوفمبر ١٨، مسقط، Oman",https://maps.google.com/?cid=508436422241905059&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
MITS | Meridian IT Solutions (Showroom),4.4,31,0,https://www.mitsme.com/index_oman.html,9269 3834,"PB:758, PC:114, Bldg No:0573,shop:180,al Wadi Centre, Ruwi, Muscat, Oman 114, Oman",https://maps.google.com/?cid=16845846381862014256&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Takatuf Oman تكاتف عمان - القرم,4.4,14,1,http://takatuf.om/en,24 064800,"Takatuf Oman, Building 9, Qurum, Muscat 102, مسقط، Oman",https://maps.google.com/?cid=9519920828339598660&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Al Shawamikh Oil Services,4.5,71,0,http://www.alshawamikh.com/,22 849050,"5th Floor, Taminat Building, Muscat, Oman Muscat OM, مسقط 115, Oman",https://maps.google.com/?cid=5066674563217951161&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
MEGASTORE FOR COMPUTERS AND ELECTRONICS,4.5,26,1,,9263 5148,"Nasr Club, Al Matar Street, opposite to Al Isteqrar Shopping Centre, next to Bank Muscat ATM, Salalah, Oman, صلالة 211, Oman",https://maps.google.com/?cid=2804465493367249016&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Printing Zone منطقة الطباعة,4.5,23,1,http://www.printingzoneoman.com/,9901 0291,"OMAN Muscat Seeb OM، Sib 121, Oman",https://maps.google.com/?cid=1816327309827800706&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Oman Advertising Agency LLC وكالة عمان للاعلان ش.م.م (OmanAD),4.5,6,1,http://www.omanad.net/,9288 0338,"Gulf House Building, Near Oman Chamber of Commerce & Industries, Markazi Street, Ruwi, Muscat, OMAN Ruwi OM, مسقط 112, Oman",https://maps.google.com/?cid=18397905087596250421&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Olive Creative Studio,4.5,4,1,http://www.olivescs.com/,,"Al-Nahda Tower-2, 1st floor #10, Ghala, Muscat, Oman Ghala, Muscat, Oman OM، Muscat 112, Oman",https://maps.google.com/?cid=8212243522734425662&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Express autocare center,4.5,2,0,,7973 6005,"Inside Oman Oil filling station Sulthanate of oman Rustaq OM, ولاية الرستاق 318, Oman",https://maps.google.com/?cid=10036460860122388135&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
abu mazin computers,4.6,61,2,,9582 0111,"Near oman exchnage، Service Rd, Sohar 311, Oman",https://maps.google.com/?cid=3717374945434445716&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Precision Tune - Car Service & Repair Center Nizwa Town,4.6,59,0,https://www.precisiontunegcc.com/,9263 6112,"Inside Oman Oil Filling Station, Next to Kia/Ford Service, ولاية نزوى، Oman",https://maps.google.com/?cid=5978152922173008189&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Donia Al Tasameem,4.6,26,1,,9342 8000,"Sultanate of Oman - Boshar Muscat, Oman مسقط OM, مسقط 133, Oman",https://maps.google.com/?cid=9452462625689740195&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
WeMeet Oman,4.7,794,0,https://wemeet.me/,9927 2110,"Mall of Oman, Level 1, Muscat, Oman",https://maps.google.com/?cid=10175938643262120785&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Abjar Advertising, Oman",4.7,21,0,https://abjarom.com/,24 456281,"Behind Mall of muscat Near Oman oil, Baladiya road, Sib 122, Oman",https://maps.google.com/?cid=8031339925349959342&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Feedback Advertising Agency,4.7,9,0,,24 288679,"Seeb, Oman",https://maps.google.com/?cid=9988523218019647511&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
مسقط للطباعة الرقمية,4.8,17,0,,9596 9433,"opposite Oman oil, Beginning of Bark، Kifaya Building، Souq Road، Barka, Oman",https://maps.google.com/?cid=1182735865151655024&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
FOUR SQUARE GRAPHICS,4.8,5,0,https://foursquaregraphics.com/,9406 4051,"MBD RUWI, NEAR OIFC OFFICE ( NEXT TO OMAN OIL) MUSCAT OM MUSCAT OM, مسقط 117, Oman",https://maps.google.com/?cid=13327944951707207934&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
MATAR AL HILALI TRADING,4.8,5,0,,9944 5607,"OMAN MUSCAT AL RUSTAQ AL RUSTAQ, ولاية الرستاق 329, Oman",https://maps.google.com/?cid=7349232762960885958&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
SECURE TAG SALALAH,4.9,29,0,https://securetagauditing.com/,7969 4913,"Office No: 301, NBO Bank Building Opp:Qaboos Grand Masjid,Salalah Sulthante Of Oman Salalah، Salalah 211, Oman",https://maps.google.com/?cid=5084423360609574405&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Redz Creative Solutions LLC,4.9,22,0,https://www.instagram.com/redz_photo,9455 5322,"Muscat 111, Oman",https://maps.google.com/?cid=8121072047080683076&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Elite International Information Systems LLC,4.9,11,0,http://www.elitesystemsme.com/,24 783194,"4th floor, Door # 401 & 402 international Medical Center building Ruwi, Sultanate of Oman Phone:24783194,24783137 Fax:24763038 Email:info@elitesystemsme.com Muscat OM, Muscat 112, Oman",https://maps.google.com/?cid=2228206868809950436&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Control Tech Oman,5,70,0,https://www.controltechoman.com/,9145 4025,"Office No. 404, Fourth Floor, Building Number 176, Near Oman Oil Petrol Station, شارع الجامع الأكبر، مسقط، Oman",https://maps.google.com/?cid=1195075073559914354&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Web Magic Design,5,23,0,http://wmdoman.com/,24 488007,"Arzat House, Office 18, Al-Khuwair, Sultanate of Oman، 4147 Way, Muscat, Oman",https://maps.google.com/?cid=2847448021280555392&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Golden City Electronics,5,21,0,,9149 8258,"Near Omantel office, Duqm 700, Oman",https://maps.google.com/?cid=9002241770050830701&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Rising Construction And Contracting SPC,5,15,0,https://rccoman.com/,9553 5418,"Al Duqm, Sultanate of Oman Opposite, Ministry of Fisheries, Al Duqm 117, Oman",https://maps.google.com/?cid=15566047552545924442&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Duqm Hongtong Piping LLC,5,9,0,http://www.duqmhongtong.com/,9121 8818,"China-Oman Industrial Park Duqm OM, 700, Oman",https://maps.google.com/?cid=16931965011934083661&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Rankup Digital One,5,7,0,https://rankupdigitalone.blogspot.com/,,"Seeb 122, Oman",https://maps.google.com/?cid=7384774490950631110&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
SAHLLAK,5,5,0,https://sahllak.com/,9770 2024,"Near Oman Oil, Office 1, Way MBD, Muscat 122, Oman",https://maps.google.com/?cid=14992451453059004183&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Advertising, printing & stamps Making صنع الختام و مطبعة",5,5,0,https://smadwayz.com/,7733 2430,"4010 Way , Ghubra, Bawshar , Oman, Building Number 692 , Shope No 4 Bawshar , Muscat , Oman, مسقط 130, Oman",https://maps.google.com/?cid=6061504053260809747&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Flairtek,5,4,0,http://www.flairtek.com/,9175 0785,"Flat No.24, Ghala Heights، Building No. 1/168,، Plot No.M/1 - Way 5003، Muscat, Sultanate of Oman 130, Oman",https://maps.google.com/?cid=2885724126921827875&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Global Advanced Technology LLC,5,4,0,,9817 4448,"Second Floor, Flat No-22, Building No: 1/172 Block No: 363, Way No: 63, Al Mabela, Muscat, Oman Muscat OM, Muscat 122 Muscat OM, السيب‎ 122, Oman",https://maps.google.com/?cid=10242239258230144485&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Gazelle business solutions,5,4,0,https://www.gazelletec.com/,7922 3620,"Oman Avenues Mall, Al Ghubrah St, Muscat, Oman",https://maps.google.com/?cid=6515552809226415415&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Abidi Designers Advertising and Marketing Agency,5,3,0,http://abididesigners.com/,9558 4182,"Central bank of Oman street, Muscat 112, Oman",https://maps.google.com/?cid=14180409135419483417&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Google ads & SEO expert,5,2,0,https://www.fiverr.com/syedadeel0?up_rollout=true,9127 2778,"sultanate of Oman Muscat, السيب‎ 121, Oman",https://maps.google.com/?cid=5053049943679529630&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
IRIS Health Services - Muscat,5,2,0,,24 593353,"Off. 205, Block 245, Way #4560 Building 5431/1, Baushar 5431/1 Bausher, Muscat, Sultanate of Oman PO 3281, Muscat, Oman",https://maps.google.com/?cid=7677603478355569507&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Afaq Majan Printing Press مطبعة أفاق مجان,5,2,0,,9559 2221,"Main Road front of Grave Yard near Souq Al Hareem Roundabout Sur, Oman OM, Sur 411, Oman",https://maps.google.com/?cid=5007030069705008733&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Talal Al saifi Trading,5,2,0,,9252 5878,"Rustaq-Miskin Road, Rustaq, Oman Rustaq OM, Rustaq 813, Oman",https://maps.google.com/?cid=2901785853078966927&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Al Ebdaa Printing Press,5,2,0,,9294 2985,"Saara road, Al-Buraimi, S. of Oman (opposite Oman Tel Al، Al Buraimi 512, Oman",https://maps.google.com/?cid=8655780916001599144&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Enterslice oman,5,2,0,https://enterslice.com/,7714 2123,"oman Avenue mall 1st Floor, new office center, Office No: 204, A-50, مسقط 130, Oman",https://maps.google.com/?cid=3483218865094222682&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Aries GlobalOman Co LLc Duqm Office,5,2,0,http://www.ariesglobaloman.com/,24 393000,"Near Omani school Childrens park, Duqm, Oman",https://maps.google.com/?cid=8230747917458389197&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Duqm... Al Bateen Modren Trad,5,2,0,,9898 2011,"Behind Omantel office, same like photo studio shop, الدقم، Oman",https://maps.google.com/?cid=6720359191124249629&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Oman Deploy,5,1,0,https://www.omandeploy.com/,7113 7888,"Fifth floor, Oman 70 building, Al Ghubrah St, Muscat 113, Oman",https://maps.google.com/?cid=9639256675163369809&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Digital Marketing & SEO Expert | Freelancer in Muscat, Oman",5,1,0,https://digitaltrendss.com/,7222 5258,"mabaila muscat oman, Muscat 112, Oman",https://maps.google.com/?cid=15807859297391567126&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Programi Tech,5,1,0,https://programi.tech/,9216 9118,"Mall Of Oman, Level 1, WeMeet 111, Oman",https://maps.google.com/?cid=13626570328303406951&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Future Integrated Services & Trading LLC,5,1,0,https://fis-om.com/,24 238080,"Ghala -Muscat -Oman Muscat, Ghala Zakia Plaza Building, 4th floor, مسقط 112, Oman",https://maps.google.com/?cid=12809879958270926690&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Quickbooks Dealer in Oman UAE,5,1,0,http://www.penielcomputer.com/quickbooks.php,04 239 8571,"Po. Box: 22725 Oman, مسقط، Oman",https://maps.google.com/?cid=12765030204821346609&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Digital Signage in Oman,5,1,0,https://screendrive.net/,9103 3246,"Near police station، Seeb, Oman، Souq St, Muscat, Oman",https://maps.google.com/?cid=1176131187844170634&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Choudhary Trading and Services L.LC,5,1,0,,7228 7272,"Barka , Muscat , Oman Muscat , Oman, مسقط 153, Oman",https://maps.google.com/?cid=7353841611873903562&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Waves Engineering Consultancy ( Barka),5,1,0,,7119 8485,"Barka, Sultanate of Oman Barka OM, Barka 320, Oman",https://maps.google.com/?cid=13137724281984049317&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
eloiacs softwa,5,1,0,https://www.eloiacs.com/,7419 9669,"Town in Oman, Manah 619, Oman",https://maps.google.com/?cid=9767632345718602549&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Mars digital printing Oman,5,1,0,,7759 6611,"Bahla, Oman",https://maps.google.com/?cid=16966945614953204513&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Lime Green Apps - Mobile App Development Company Oman | Hire App Developers in Oman,,0,0,https://limegreenapps.com/mobile-app-development/,,"Oman Avenues Mall, 2nd Floor Sultan Qaboos Street, 132 شارع الغبرة، مسقط 132, Oman",https://maps.google.com/?cid=18143327742147527805&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
xlin.app,,0,0,http://www.xlin.app/,7113 7888,"fifth floor, oman 70 bulding, شارع الغبرة، مسقط 311, Oman",https://maps.google.com/?cid=1857029062532765873&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Fahad Technologies الفهد الوطنية لتقنية المعلومات والخدمات,,0,0,https://www.fahadoman.com/,9174 3000,"Near Al Ameen Mosque Al Khuwair, Muscat, SulnateAl Of Oman، Muscat 133, Oman",https://maps.google.com/?cid=16711382940506584663&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
La Casa web design company-mobile app‏‏,,0,0,https://www.egyptgoogle.com/,,"AlRiyam Springwall - Oman, AlMuzn Mall, مسقط 112, Oman",https://maps.google.com/?cid=15964828252808706282&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Lammba Marketing Firm,,0,0,https://instagram.com/lammba_oman?utm_medium=copy_link,9525 6721,"Shatti Al Qurum, Muscat, Oman 23.61656354427095 OM, 58.47647360718874, مسقط 114, Oman",https://maps.google.com/?cid=4359155787496566759&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Crayon Technologies L.L.C,,0,0,https://www.crayon.com/,4020 6630,"Level 2, Office 201 Beach One Building, Shatti Al Qurum Muscat - Sultanate of Oman PC, مسقط 102, Oman",https://maps.google.com/?cid=12832427174195822328&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Digital Marketing -Social Media Marketing Oman,,0,0,,7229 7769,"HCR6+31CC Muscat, Oman Opp-blessing, oman avenue, Muscat, Oman",https://maps.google.com/?cid=6398017913598156157&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Software World LLC,,0,0,https://www.softwareworldoman.com/,9420 1207,"Ghubra North, Muscat, Sultanate of Oman VATIN: OM110010956 Unit3/4 Block 240, Building 1//434, Way 4006, مسقط 113, Oman",https://maps.google.com/?cid=3358328533421824534&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Professional Marketing,,0,0,https://www.instagram.com/professional.marketing2020?igsh=dHpscXBuc2dhZHFt,9770 0448,"Atkiya Industrial area, behind Oman oil petrol pump, Amerat, مسقط، Oman",https://maps.google.com/?cid=7811074497082494003&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Busma Software,,0,0,https://busmasoftware.com/,9815 5336,"Al Khoudh-6, Muscat, Oman SQUare 1st Floor, New Work Business Center - SQUare Al Khoud, السيب‎ 132, Oman",https://maps.google.com/?cid=11787469199116150706&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Hayat Communications,,0,0,http://hayatcommunications.com/,24 526509,"Al Seer Street, Barka Warehouse, Sultanate of Oman Oman، Barka, Oman",https://maps.google.com/?cid=2336289082692678617&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Ahmad sign,,0,0,,,"Opposite Oman Arab Bank, Souq, Barka 320, Oman",https://maps.google.com/?cid=10856237527649340556&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Zahrah Advertising & Media,,0,0,,7180 9075,"Near Al Israa Elementary School • Saham • Sohar • Muscut • Oman, Sohar 319, Oman",https://maps.google.com/?cid=1491393424916328415&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Resume the work,,0,0,,9062 8498,"Oman, Salalah 211, Oman",https://maps.google.com/?cid=9543295684336989135&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Nano digital,,0,0,,7721 8219,"Salalah 220, Oman",https://maps.google.com/?cid=7394817592993196188&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
